Id;GroupCode;AccountingCode;Major;Grouping
235;"7060 ";"3034 ";B;"2.3.2    "
236;"7035 ";"3115 ";B;"2.3.2    "
237;"7060 ";"3205 ";B;"2.3.2    "
238;"7036 ";"3054 ";B;"2.3.2    "
239;"7060 ";"3068 ";B;"2.3.2    "
240;"7060 ";"5002 ";B;"2.3.2    "
241;"7044 ";"4000 ";B;"2.3.2    "
242;"7034 ";"3002 ";B;"2.3.2    "
243;"7052 ";"3900 ";B;"2.3.2    "
244;"7030 ";"3142 ";B;"2.3.2    "
245;"7032 ";"3142 ";B;"2.3.2    "
246;"7034 ";"3142 ";B;"2.3.2    "
247;"7036 ";"3208 ";B;"2.3.2    "
248;"7038 ";"3142 ";B;"2.3.2    "
249;"7040 ";"3142 ";B;"2.3.2    "
250;"7042 ";"3142 ";B;"2.3.2    "
251;"7044 ";"3142 ";B;"2.3.2    "
252;"7046 ";"3142 ";B;"2.3.2    "
253;"7048 ";"3208 ";B;"2.3.2    "
254;"7050 ";"3208 ";B;"2.3.2    "
255;"7052 ";"3208 ";B;"2.3.2    "
256;"7054 ";"3208 ";B;"2.3.2    "
257;"7056 ";"3208 ";B;"2.3.2    "
1276;1012;222;B;1.1.3.1
259;"7060 ";"3208 ";B;"2.3.2    "
260;"7029 ";"3214 ";B;"2.3.2    "
261;"7029 ";"3052 ";B;"2.3.2    "
262;"7033 ";"3052 ";B;"2.3.2    "
263;"7046 ";"3061 ";B;"2.3.2    "
264;"8000 ";"3001 ";B;"2.3.2    "
265;"7010 ";"7777 ";B;"2.3.2    "
266;"7037 ";"0001 ";B;"2.3.2    "
267;"7038 ";"0002 ";B;"2.3.2    "
268;"7029 ";"0001 ";B;"2.3.2    "
269;"7030 ";"0002 ";B;"2.3.2    "
270;"7033 ";"3214 ";B;"2.3.2    "
271;"7029 ";"3020 ";B;"2.3.2    "
272;"7039 ";"3020 ";B;"2.3.2    "
273;"7037 ";"3020 ";B;"2.3.2    "
274;"7046 ";"3212 ";B;"2.3.2    "
275;"7048 ";"3215 ";B;"2.3.2    "
276;"7042 ";"3212 ";B;"2.3.2    "
277;"7044 ";"3212 ";B;"2.3.2    "
278;"7034 ";"3212 ";B;"2.3.2    "
279;"7038 ";"3212 ";B;"2.3.2    "
280;"7040 ";"3212 ";B;"2.3.2    "
281;"7030 ";"3212 ";B;"2.3.2    "
282;"7033 ";"3020 ";B;"2.3.2    "
283;"7060 ";"3061 ";B;"2.3.2    "
284;"7039 ";"3214 ";B;"2.3.2    "
285;"7035 ";"3214 ";B;"2.3.2    "
286;"7029 ";"6000 ";B;"2.3.2    "
287;"7031 ";"6000 ";B;"2.3.2    "
288;"7031 ";"3214 ";B;"2.3.2    "
289;"8000 ";"5555 ";B;"2.3.2    "
290;"7033 ";"3055 ";B;"2.3.2    "
291;"7037 ";"3055 ";B;"2.3.2    "
292;"7037 ";"3214 ";B;"2.3.2    "
293;"8000 ";"4001 ";B;"2.3.2    "
294;"7031 ";"3020 ";B;"2.3.2    "
295;"7060 ";"3109 ";B;"2.3.2    "
296;"7000 ";"1112 ";B;"2.3.2    "
297;"7010 ";"2002 ";B;"2.3.2    "
299;"7000 ";"1111 ";B;"2.3.2    "
300;"7030 ";"3071 ";B;"2.3.2    "
301;"7030 ";"3143 ";B;"2.3.2    "
302;"7030 ";"3059 ";B;"2.3.2    "
303;"7031 ";"3035 ";B;"2.3.2    "
304;"7031 ";"3039 ";B;"2.3.2    "
305;"7032 ";"3064 ";B;"2.3.2    "
306;"7032 ";"3071 ";B;"2.3.2    "
307;"7032 ";"3143 ";B;"2.3.2    "
308;"7032 ";"6001 ";B;"2.3.2    "
309;"7062 ";"3071 ";B;"2.3.2    "
310;"7062 ";"3143 ";B;"2.3.2    "
311;"7062 ";"3059 ";B;"2.3.2    "
312;"7034 ";"3071 ";B;"2.3.2    "
313;"7034 ";"3064 ";B;"2.3.2    "
314;"7034 ";"3059 ";B;"2.3.2    "
