id;prsnumber;productcode;user_id;created_by;created_date;updated_by;updated_date;is_active
99;203382;60544;USER0008;NULL;NULL;NULL;NULL;Y
100;203383;01732;USER0008;NULL;NULL;NULL;NULL;Y
101;203384;63772;USER0008;NULL;NULL;NULL;NULL;Y
102;203385;01733;USER0008;NULL;NULL;NULL;NULL;Y
103;203387;01734;USER0008;NULL;NULL;NULL;NULL;Y
104;203389;63983;USER0008;NULL;NULL;NULL;NULL;Y
105;203390;80001;USER0007;NULL;NULL;NULL;NULL;Y
106;203396;01735;USER0008;NULL;NULL;NULL;NULL;Y
107;203401;00231;USER0008;NULL;NULL;NULL;NULL;Y
108;203403;69915;USER0007;NULL;NULL;NULL;NULL;Y
109;203403;64404;USER0007;NULL;NULL;NULL;NULL;Y
110;203404;63492;USER0008;NULL;NULL;NULL;NULL;Y
111;203405;63493;USER0008;NULL;NULL;NULL;NULL;Y
112;203407;01737;USER0008;NULL;NULL;NULL;NULL;Y
113;203412;01738;USER0008;NULL;NULL;NULL;NULL;Y
114;203418;01742;USER0008;NULL;NULL;NULL;NULL;Y
115;203424;63495;USER0007;NULL;NULL;NULL;NULL;Y
116;203424;61729;USER0007;NULL;NULL;NULL;NULL;Y
117;203424;60082;USER0007;NULL;NULL;NULL;NULL;Y
118;203425;01743;USER0008;NULL;NULL;NULL;NULL;Y
119;203425;64195;USER0007;NULL;NULL;NULL;NULL;Y
120;203426;60714;USER0007;NULL;NULL;NULL;NULL;Y
121;203432;63781;USER0007;NULL;NULL;NULL;NULL;Y
122;203433;63094;USER0007;NULL;NULL;NULL;NULL;Y
123;203433;66353;USER0007;NULL;NULL;NULL;NULL;Y
124;203434;60139;USER0007;NULL;NULL;NULL;NULL;Y
125;203435;01744;USER0008;NULL;NULL;NULL;NULL;Y
126;203436;60151;USER0007;NULL;NULL;NULL;NULL;Y
127;203436;60679;USER0007;NULL;NULL;NULL;NULL;Y
128;203436;60678;USER0007;NULL;NULL;NULL;NULL;Y
129;203436;61029;USER0007;NULL;NULL;NULL;NULL;Y
130;203436;63299;USER0007;NULL;NULL;NULL;NULL;Y
131;203436;63001;USER0007;NULL;NULL;NULL;NULL;Y
132;203437;63298;USER0007;NULL;NULL;NULL;NULL;Y
133;203437;63218;USER0007;NULL;NULL;NULL;NULL;Y
134;203437;63297;USER0007;NULL;NULL;NULL;NULL;Y
135;203437;60677;USER0007;NULL;NULL;NULL;NULL;Y
136;203437;61032;USER0007;NULL;NULL;NULL;NULL;Y
137;203437;61033;USER0007;NULL;NULL;NULL;NULL;Y
138;203438;61020;USER0007;NULL;NULL;NULL;NULL;Y
139;203438;61023;USER0007;NULL;NULL;NULL;NULL;Y
140;203438;61055;USER0007;NULL;NULL;NULL;NULL;Y
141;203446;63786;USER0007;NULL;NULL;NULL;NULL;Y
142;203446;63787;USER0007;NULL;NULL;NULL;NULL;Y
143;203448;69893;USER0007;NULL;NULL;NULL;NULL;Y
144;203448;63989;USER0007;NULL;NULL;NULL;NULL;Y
145;203454;60207;USER0007;NULL;NULL;NULL;NULL;Y
146;203456;60288;USER0007;NULL;NULL;NULL;NULL;Y
147;203457;63791;USER0009;NULL;NULL;NULL;NULL;Y
148;203458;01745;USER0008;NULL;NULL;NULL;NULL;Y
149;203460;63398;USER0007;NULL;NULL;NULL;NULL;Y
150;203461;67199;USER0007;NULL;NULL;NULL;NULL;Y
151;203461;63275;USER0007;NULL;NULL;NULL;NULL;Y
152;203461;63569;USER0007;NULL;NULL;NULL;NULL;Y
153;203461;69878;USER0007;NULL;NULL;NULL;NULL;Y
154;203462;60733;USER0007;NULL;NULL;NULL;NULL;Y
155;203465;60353;USER0007;NULL;NULL;NULL;NULL;Y
156;203468;01747;USER0008;NULL;NULL;NULL;NULL;Y
157;203469;65896;USER0008;NULL;NULL;NULL;NULL;Y
158;203469;60213;USER0008;NULL;NULL;NULL;NULL;Y
159;203472;61238;USER0007;NULL;NULL;NULL;NULL;Y
160;203472;61239;USER0007;NULL;NULL;NULL;NULL;Y
161;203473;61337;USER0007;NULL;NULL;NULL;NULL;Y
162;203475;01748;USER0008;NULL;NULL;NULL;NULL;Y
163;203477;01749;USER0008;NULL;NULL;NULL;NULL;Y
164;203478;01750;USER0008;NULL;NULL;NULL;NULL;Y
165;203479;01751;USER0008;NULL;NULL;NULL;NULL;Y
166;203480;01752;USER0008;NULL;NULL;NULL;NULL;Y
167;203483;01754;USER0008;NULL;NULL;NULL;NULL;Y
168;203484;63474;USER0007;NULL;NULL;NULL;NULL;Y
169;203484;63498;USER0007;NULL;NULL;NULL;NULL;Y
170;203484;61337;USER0007;NULL;NULL;NULL;NULL;Y
171;203484;60733;USER0007;NULL;NULL;NULL;NULL;Y
172;203484;60213;USER0007;NULL;NULL;NULL;NULL;Y
173;203485;63031;USER0009;NULL;NULL;NULL;NULL;Y
174;203485;63030;USER0009;NULL;NULL;NULL;NULL;Y
175;100048;52714;USER0009;NULL;NULL;NULL;NULL;Y
176;203491;63594;USER0009;NULL;NULL;NULL;NULL;Y
177;203491;63596;USER0009;NULL;NULL;NULL;NULL;Y
178;203492;63061;USER0007;NULL;NULL;NULL;NULL;Y
179;203494;63987;USER0007;NULL;NULL;NULL;NULL;Y
180;203497;60064;USER0008;NULL;NULL;NULL;NULL;Y
181;203500;01755;USER0008;NULL;NULL;NULL;NULL;Y
182;203501;62094;USER0007;NULL;NULL;NULL;NULL;Y
183;203501;63175;USER0007;NULL;NULL;NULL;NULL;Y
184;203501;64508;USER0007;NULL;NULL;NULL;NULL;Y
185;203502;61754;USER0008;NULL;NULL;NULL;NULL;Y
186;100049;90705;USER0009;NULL;NULL;NULL;NULL;Y
187;203503;60967;USER0007;NULL;NULL;NULL;NULL;Y
188;203504;01726;USER0008;NULL;NULL;NULL;NULL;Y
189;203505;63803;USER0007;NULL;NULL;NULL;NULL;Y
190;203507;61620;USER0008;NULL;NULL;NULL;NULL;Y
191;203509;63814;USER0007;NULL;NULL;NULL;NULL;Y
192;203512;63815;USER0007;NULL;NULL;NULL;NULL;Y
193;203512;63816;USER0007;NULL;NULL;NULL;NULL;Y
194;203512;63817;USER0007;NULL;NULL;NULL;NULL;Y
195;203512;63818;USER0007;NULL;NULL;NULL;NULL;Y
196;203513;63819;USER0007;NULL;NULL;NULL;NULL;Y
197;203516;62129;USER0007;NULL;NULL;NULL;NULL;Y
198;203518;63064;USER0007;NULL;NULL;NULL;NULL;Y
199;203520;63820;USER0007;NULL;NULL;NULL;NULL;Y
200;203523;01757;USER0008;NULL;NULL;NULL;NULL;Y
201;203525;61343;USER0007;NULL;NULL;NULL;NULL;Y
202;203525;61344;USER0007;NULL;NULL;NULL;NULL;Y
203;203525;64353;USER0007;NULL;NULL;NULL;NULL;Y
204;203525;64354;USER0007;NULL;NULL;NULL;NULL;Y
205;203528;61768;USER0007;NULL;NULL;NULL;NULL;Y
206;203529;62860;USER0009;NULL;NULL;NULL;NULL;Y
207;203530;01758;USER0007;NULL;NULL;NULL;NULL;Y
